MODEL,ACC,AUROC,AUPRC,RECALL,PRECISION,SPECIFICITY,F1,BRIER
3way-default,0.803±0.002,0.863±0.002,0.483±0.005,0.752±0.004,0.367±0.005,0.81±0.002,0.494±0.005,0.09±0.001
3way-mv_avg(3),0.813±0.002,0.865±0.002,0.487±0.005,0.738±0.004,0.381±0.005,0.824±0.002,0.502±0.005,0.09±0.001
