MODEL,ACC,AUROC,AUPRC,RECALL,PRECISION,SPECIFICITY,F1,BRIER
3way-default,0.963±0.001,0.944±0.002,0.449±0.016,0.755±0.011,0.275±0.005,0.967±0.001,0.404±0.006,0.012±0.0
3way-mv_avg(3),0.963±0.001,0.945±0.002,0.453±0.016,0.75±0.011,0.275±0.005,0.967±0.0,0.402±0.006,0.012±0.0
